					max_d_1 	 mean_d_1 	 max_plane_d_1 	 mean_plane_d_1 	 max_d_2 	 mean_d_2 	 max_plane_d_2 	 mean_plane_d_2


data1
mean50_max50		1.064270 	 0.579541  	  0.295172    	    0.094534    	 1.056664 	 0.560792 	   0.301530 	   0.076286
mean40_max60		1.118883 	 0.559616  	  0.256298    	    0.076661    	 1.067514 	 0.559237 	   0.306666 	   0.065363
mean30_max70		1.037881 	 0.599425  	  0.349060    	    0.106086    	 1.051782 	 0.624401 	   0.390128 	   0.140601
mean20_max80		1.086032 	 0.557499  	  0.237835    	    0.081497    	 1.130205 	 0.574634 	   0.209423 	   0.069842
mean10_max90		1.147626 	 0.614294  	  0.250313    	    0.088457    	 1.027671 	 0.592476 	   0.269335 	   0.096146

data7
mean100_max0		1.109506 	 0.552469  	  0.280413    	    0.058186    	 1.036031 	 0.566436 	   0.310212 	   0.059681
mean90_max10		1.195903 	 0.564369  	  0.289707    	    0.058911    	 1.088374 	 0.565985 	   0.239611 	   0.058661
mean80_max20		1.193493 	 0.567690  	  0.217499    	    0.062063    	 1.101476 	 0.558029 	   0.225600 	   0.063692
mean75_max25		1.151346 	 0.571722  	  0.307101    	    0.085669    	 1.187497 	 0.563847 	   0.200918 	   0.064894
mean70_max30		1.068702 	 0.597906  	  0.315682    	    0.094383    	 1.128827 	 0.587644 	   0.401498 	   0.086408
mean60_max40		1.060239 	 0.562207  	  0.252064    	    0.064216    	 1.031530 	 0.581868 	   0.323646 	   0.103114
mean50_max50		1.062662 	 0.572301  	  0.367643    	    0.090207    	 1.063401 	 0.582644 	   0.262465 	   0.077981
mean40_max60		1.133759 	 0.583125  	  0.343583    	    0.107930    	 1.032346 	 0.573372 	   0.240357 	   0.079936
mean30_max70		1.082717 	 0.576448  	  0.293450    	    0.080721    	 1.084219 	 0.555567 	   0.235271 	   0.076854
mean20_max80		1.034613 	 0.577857  	  0.272468    	    0.106903    	 1.034613 	 0.577857 	   0.272468 	   0.106903
mean10_max90		1.052927 	 0.572168  	  0.239392    	    0.073864    	 1.052927 	 0.572168 	   0.239392 	   0.073864

data8
mean100_max0		1.034384 	 0.557271  	  0.281909    	    0.055570    	 1.017260 	 0.555519 	   0.274915 	   0.055781
mean90_max10		1.092082 	 0.552727  	  0.285018    	    0.059404    	 1.065597 	 0.568924 	   0.242429 	   0.061076
mean80_max20		1.109327 	 0.551369  	  0.235593    	    0.060135    	 1.066349 	 0.556729 	   0.228965 	   0.063974
mean75_max25		1.107120 	 0.604622  	  0.300441    	    0.096065    	 1.092135 	 0.578015 	   0.345607 	   0.084116
mean70_max30		1.081666 	 0.564084  	  0.282206    	    0.063636    	 1.092116 	 0.579639 	   0.315092 	   0.091895
mean60_max40		1.166285 	 0.574467  	  0.256422    	    0.080147    	 1.050670 	 0.579854 	   0.262769 	   0.076353
mean50_max50		1.032232 	 0.573225  	  0.249649    	    0.069369    	 1.138124 	 0.596610 	   0.264126 	   0.071712
mean40_max60		1.152605 	 0.594247  	  0.280463    	    0.078857    	 1.133546 	 0.590485 	   0.390020 	   0.117191
mean30_max70		1.090309 	 0.560995  	  0.235915    	    0.090246    	 1.057976 	 0.622583 	   0.444806 	   0.126210
mean20_max80		1.035814 	 0.559457  	  0.231566    	    0.083241    	 1.035814 	 0.559457 	   0.231566 	   0.083241
mean10_max90		1.051867 	 0.578901  	  0.283735    	    0.112032    	 1.084635 	 0.559626 	   0.250402 	   0.080349

data9
mean100_max0		1.011256 	 0.556603  	  0.277753    	    0.055713    	 1.029838 	 0.555904 	   0.276137 	   0.055675
mean90_max10		1.137126 	 0.572616  	  0.219475    	    0.065989    	 1.069112 	 0.573039 	   0.246053 	   0.062778
mean80_max20		1.078923 	 0.571383  	  0.265032    	    0.061863    	 1.078800 	 0.564692 	   0.293084 	   0.060545
mean75_max25		1.081749 	 0.555220  	  0.278563    	    0.069476    	 1.066468 	 0.586318 	   0.270436 	   0.078312
mean70_max30		1.074633 	 0.583691  	  0.337421    	    0.086357    	 1.072187 	 0.578437 	   0.208257 	   0.068857
mean60_max40		1.047023 	 0.566170  	  0.292577    	    0.077319    	 1.088101 	 0.589166 	   0.288260 	   0.093244
