118,135,54.845
118,134,54.928
118,133,54.982
118,132,55.036
118,131,55.071
118,130,55.094
118,129,55.118
118,128,55.147
118,127,55.176
118,126,55.205
118,125,55.234
118,124,55.263
118,123,55.292
118,122,55.293
118,121,55.281
118,120,55.269
118,119,55.257
118,118,55.238
118,117,55.218
118,116,55.198
118,115,55.178
118,114,55.158
118,113,55.137
118,112,55.117
118,111,55.084
118,110,55.047
118,109,55.01
118,108,54.971
118,107,54.912
118,106,54.853
118,105,54.794
118,104,54.736
118,103,54.678
118,102,54.621
118,101,54.564
118,100,54.507
118,99,54.449
118,98,54.392
118,97,54.335
118,96,54.275
118,95,54.196
118,94,54.117
118,93,54.038
118,92,53.959
118,91,53.875
118,90,53.787
118,89,53.699
118,88,53.611
118,87,53.523
118,86,53.435
118,85,53.347
118,84,53.259
118,83,53.171
118,82,53.082
118,81,52.985
118,80,52.888
118,79,52.791
118,78,52.694
118,77,52.593
118,76,52.481
118,75,52.368
118,74,52.255
118,73,52.143
118,72,52.03
118,71,51.917
118,70,51.804
118,69,51.691
118,68,51.578
118,67,51.465
118,66,51.352
118,65,51.239
118,64,51.126
118,63,51.013
118,62,50.9
118,61,50.787
118,60,50.663
118,59,50.537
118,58,50.412
118,57,50.287
118,56,50.162
118,55,50.037
118,54,49.907
118,53,49.773
118,52,49.639
118,51,49.505
118,50,49.371
118,49,49.237
118,48,49.103
118,47,48.969
118,46,48.835
118,45,48.702
118,44,48.568
118,43,48.434
118,42,48.3
118,41,48.166
118,40,48.032
118,39,47.898
118,38,47.763
118,37,47.627
118,36,47.49
118,35,47.353
118,34,47.216
118,33,47.079
118,32,46.942
118,31,46.804
118,30,46.661
119,30,46.66
120,30,46.66
121,30,46.66
122,30,46.661
123,30,46.661
124,30,46.661
125,30,46.66
126,30,46.654
127,30,46.647
128,30,46.64
129,30,46.633
130,30,46.626
131,30,46.62
132,30,46.613
133,30,46.606
140,29,46.399
141,29,46.384
142,29,46.369
143,29,46.354
144,29,46.339
145,29,46.324
146,29,46.303
147,29,46.282
148,29,46.26
155,28,45.884
156,28,45.806
157,28,45.698
158,28,45.568
165,27,44.213
166,27,43.975
173,26,41.701
180,25,38.517
186,24,34.957
190,23,32.52
194,22,30.384
198,21,28.497
201,20,27.241
204,19,26.072
207,18,25.024
212,16,23.441
217,14,22.081
219,13,21.653
221,12,21.261
223,11,20.902
225,10,20.582
231,6,19.529
235,3,18.527
236,3,18.387
236,4,18.614
236,5,18.841
236,6,19.069
236,7,19.296
235,14,21.079
235,15,21.32
234,22,23.161
234,23,23.415
233,30,25.321
232,37,27.257
231,43,28.958
230,50,30.933
229,56,32.638
228,62,34.338
227,68,35.997
226,74,37.614
225,79,38.846
224,85,40.278
223,90,41.349
222,95,42.326
221,100,43.225
220,104,43.878
219,109,44.584
218,113,45.035
217,118,45.429
216,122,45.515
215,127,45.31
214,133,44.44
213,138,42.82
212,143,40.836
211,147,39.03
210,149,37.809
209,151,36.675
208,153,35.632
206,156,34.031
205,157,33.444
204,158,32.919
203,159,32.428
202,160,31.977
201,161,31.586
200,162,31.245
199,163,30.885
198,164,30.569
197,165,30.355
196,166,30.12
195,167,29.853
194,168,29.583
193,169,29.314
192,170,29.024
191,171,28.711
190,172,28.39
189,173,28.069
188,174,27.708
187,175,27.329
186,176,26.949
181,183,23.642
180,185,22.496
179,186,21.908
178,187,21.307
176,188,20.732
172,189,20.233
171,189,20.28
170,189,20.326
169,189,20.372
168,189,20.419
167,189,20.466
166,189,20.512
165,189,20.557
158,190,20.188
157,190,20.295
156,190,20.403
155,190,20.53
154,190,20.698
153,190,20.885
152,190,21.131
151,190,21.389
150,190,21.683
149,190,22.015
148,190,22.347
147,190,22.752
146,190,23.181
145,190,23.621
144,190,24.133
143,190,24.652
142,190,25.225
141,190,25.85
134,189,31.779
133,189,32.405
132,189,33.032
131,189,33.578
130,189,34.085
129,189,34.59
122,188,37.68
121,188,37.91
120,188,37.91
119,188,37.91
